"Data Source","WDI Database Archives",

"Last Updated Date","2019-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","107.967323761632","","","175.757543792814","602.336128694153","728.458910987332","778.692137700197","935.656830822125","1002.41485123442","1074.79963576048","1130.72972511798","1221.41344961552","1658.135823167","1761.17222828115","1823.60177777778","1884.2734322","1776","1499.1","1005.36","265.983680794992","","","","",
"Afghanistan","AFG","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","0.185771421629836","0.179946848484755","3.47919083689101","4.20123242115869","48.7076085042228","83.9227584027001","74.4621632001096","67.9714464949492","121.175515089956","125.578815214502","138.742009762335","130.90909091","112.1","78.51","24.78","","","","",
"Angola","AGO","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0334518783078762","0.24462663528049","0.795701192137697","3.10324009913297","4.53016554904343","5.86626463299621","11.6624939709807","15.6082922665879","20.0516633898403","47.3650183214963","76.3006384129298","121.516208061897","158.911431348754","188.020817998915","292.299907766482","378.7","375.181412384796","332.3","221.94","37.2","","","","",
"Albania","ALB","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.47999803672432","1.38372842357566","2.08854587936706","2.79505163473145","3.50050430844437","4.90417251686143","14.0017501386124","16.7610285720427","41.7502249966473","103.946046765872","259.496456822663","456.049684809436","571.195884615819","906.396261927196","1441.51939122067","1439.97989391576","1372","1311.74301695889","1107.1","721.2","189.758798093862","","","","",
"Andorra","AND","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","50.3843401861595","100.687039023117","227.363022103765","252.156288052688","348.072952696862","","371.921980975993","579.535594823465","1132.49147769199","1597.27506792011","2036.06755312517","2946.19997698377","2665.61010664325","2512.96","2592","2268","2074.42619080797","1786","1150.8","290.73","","","","",
"Netherlands Antilles","ANT","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2.38265567866984","","","9.89517226433707","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.620202860837717","1.37585694092086","4.79272686449698","9.57125244205498","21.8342503537679","41.4813423178779","56.5112305586929","97.3763217373163","131.811163743935","235.799937424","299.972987728045","410.301063143137","508.785284418951","652.036613519312","770.243092515933","831.134730164026","801.015897865124","765.811747561288","646.208303682264","418.67776215584","118.578462201879","","","","",
"United Arab Emirates","ARE","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","4.43265223923249","16.1957387319679","142.147741374137","297.82851892671","643.804737619982","1017.15247101371","1131.47830129306","1220.05767681447","1270.22006456326","1297.36132809021","1635.00542609785","2103.47090331036","2461.6988676326","2529.56190604082","2310.75242409491","2215.99356230032","2152","2039.99983858908","1672","1084.8","273.730217330742","","","","",
"Argentina","ARG","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.128645528570041","1.26921179941571","1.87874993403987","3.70892508402012","6.10292003298409","12.05357720804","35.7234942213119","141.246154062811","302.705932386206","420.636058541762","467.986445004506","512.324632859776","689.591566912385","761.972640704039","899.835989029045","1085.05623234643","1096.51655889375","1179.36217848381","1384.00066990003","1414.816","1339.2","1138.1","776.4","208.20276306358","","","","",
"Armenia","ARM","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.392005136743275","2.26770521228209","4.0659371148768","4.79981740289525","5.53071394337502","41.7296902801545","55.9096436718046","70.1381670702952","84.3239400096569","196.868093660227","210.882503695933","226.205619723692","242.605437284948","228.804238662418","235.956153366812","509.855370056802","794.00204915912","800","919.923957836622","826.9","580.568417576672","174.747996666349","","","","",
"American Samoa","ASM","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","94.6484635552079","122.940500508487","149.702776416964","175.137048066726","228.006380604636","278.841143364739","382.830575540212","537.731975582459","741.209024210899","1044.03571914451","1331.63756066718","1984.75122573428","2187.75395143371","2149.28790953525","1920.63203080738","1868.29090909091","1675","1478.36150234199","1204.6","768","195.6","","","","",
