"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belgium","BEL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","96.421272277832","","97.9159927368164","98.4477386474609","97.5045013427734","97.3816604614258","94.711051940918","94.1378326416016","93.7845611572266","95.1332321166992","96.7240982055664","98.0438613891602","","","97.9283828735352","96.3497161865234","97.9741516113281","97.2738189697266","97.2186584472656","97.6634292602539","","","","99.36219","","99.07209","98.03134","96.61369","96.2121","96.42589","97.46238","98.06133","97.94753","97.73288","97.86878","98.1291","98.16097","97.98765","98.34136","98.62326","99.24697","","",
"Benin","BEN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","33.3262405395508","33.9562492370605","32.9524383544922","","32.791618347168","33.2437896728516","27.0833492279053","","32.9980392456055","36.2964401245117","38.6678085327148","41.250129699707","43.9090690612793","47.593391418457","","","","","","","","","78.42552","","83.58132","","","","","","","","","","","",
"Burkina Faso","BFA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","7.43154001235962","7.88890981674194","","","","","9.34183979034424","9.67422008514404","10.086389541626","10.8048000335693","11.4883699417114","12.5058403015137","13.6541404724121","14.5137500762939","16.0202198028564","17.6721801757813","18.7934303283691","19.2911701202393","19.7427806854248","","21.3667392730713","21.8341007232666","22.700590133667","23.6734504699707","24.942419052124","","","28.2970504760742","29.024730682373","30.36826","31.5537","31.05662","33.40368","35.84748","40.6743","44.51913","49.9437","56.46157","59.93397","","62.77919","64.39528","65.70426","67.00632","68.75138","74.75263","76.07373","78.43496","",
"Bangladesh","BGD","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","34.5677795410156","","","50.7488784790039","","","","54.5723609924316","53.7374610900879","","","55.5335884094238","","49.2185516357422","52.9090309143066","51.4475898742676","51.0190391540527","50.2434196472168","64.5492401123047","64.8031463623047","68.9535369873047","","","","","","","","","","","","","","","","","","96.95468","","","","","","","","","","","",
"Bulgaria","BGR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7135162353516","94.183967590332","95.9896392822266","96.7166213989258","96.25953","96.29859","95.71701","96.18432","96.91288","95.75172","96.5228","","","","","","97.26934","95.36479","94.21696","91.93717","89.27894","","","",
"Bahrain","BHR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","67.2291030883789","70.6570281982422","72.4400405883789","72.5404968261719","75.9075622558594","73.8364028930664","73.5730514526367","72.7629013061523","74.9744720458984","78.1381301879883","78.4789123535156","76.924430847168","80.6774291992188","85.4912261962891","91.3603973388672","95.8705291748047","96.0417709350586","97.8894271850586","98.7970428466797","","","97.9612274169922","98.8062591552734","99.0158081054688","99.9328002929688","","","","","","97.59441","96.74135","95.79683","95.10547","92.2918","94.96169","","","","","92.98872","93.54156","94.24128","96.22045","98.38984","98.75164","","97.19373","",
"Bahamas, The","BHS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.8467102050781","89.7621994018555","","","","","","90.3764038085938","","","","","89.54799","90.86115","86.62987","87.33135","85.73088","83.02412","80.82471","85.81722","80.11429","74.79154","75.97175","79.8127","76.56375","","","",
"Bosnia and Herzegovina","BIH","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.28125","","","","","","","","","","","","","","","","","","94.41777","93.5814","95.11171","96.46518","","95.08603","",
"Belize","BLZ","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9160003662109","95.85926","93.34303","","94.63614","96.16942","95.0854","96.09365","95.91325","96.08432","96.95908","98.17485","97.06866","","98.63126","","","","","","",
